artist,song_name,album,release_date,popularity,preview_url,spotify_url
Sid Sriram,Minnalvala,Narivetta (Original Motion Picture Soundtrack),2025-05-23,67,,https://open.spotify.com/track/7f88cYg6oaAaSJMfF2GANl
Sid Sriram,Nee Singam Dhan,Pathu Thala (Original Motion Picture Soundtrack),2023-03-18,76,,https://open.spotify.com/track/0vua5LbAth2HzKqpbnVRZk
Sid Sriram,"Vazhithunaiye - From ""Dragon""","Vazhithunaiye (From ""Dragon"")",2025-01-13,71,,https://open.spotify.com/track/3bTnREOf1CyY4Gz5jfHUiI
Sid Sriram,"Prema Velluva (From ""Hit - 3"") (Telugu)","Prema Velluva (From ""Hit - 3"") (Telugu)",2025-03-24,72,,https://open.spotify.com/track/0iLgVMCi8KCTF9e6QbKvSl
Sid Sriram,"Kadhaippoma (From ""Oh My Kadavule"")","Kadhaippoma (From ""Oh My Kadavule"")",2020-01-03,71,,https://open.spotify.com/track/5cfKBuE5XKtlaNOVjQwA9H
Sid Sriram,"The One (From ""Retro"")","The One (From ""Retro"")",2025-04-12,66,,https://open.spotify.com/track/2m3QwNw6Xe4s8MfapdTbWo
Sid Sriram,Yaen Ennai Pirindhaai - Tamil,Adithya Varma,2019-11-26,63,,https://open.spotify.com/track/6Xzt0znnvXOijo66f0srBA
Sid Sriram,"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")","Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",2020-09-02,69,,https://open.spotify.com/track/1AzNN19lPYC68iacrbWL8X
Sid Sriram,Ennodu Nee Irundhaal,I (Original Motion Picture Soundtrack),2014-09-18,70,,https://open.spotify.com/track/7mLEUzAulFygMchoGMrP8E
Sid Sriram,Maruvaarthai,Enai Noki Paayum Thota (Original Motion Picture Soundtrack),2023-05-09,70,,https://open.spotify.com/track/7dbzO881X6TVJST6EKhnDg
Devi Sri Prasad,"Bujji Thalli (From ""Thandel"")","Bujji Thalli (From ""Thandel"")",2024-11-21,72,,https://open.spotify.com/track/5MrLQeEVCWueDR4XejhFNG
Devi Sri Prasad,"Oo Antava Oo Oo Antava (From ""Pushpa - The Rise"")(Telugu)","Oo Antava Oo Oo Antava (From ""Pushpa - The Rise"")(Telugu)",2021-12-10,65,,https://open.spotify.com/track/3szxldqiYs7nkvtmooRod8
Devi Sri Prasad,"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",2024-05-29,69,,https://open.spotify.com/track/2gKNWPBrI2IRBl2RRUtoEb
Devi Sri Prasad,Poyiraa Mama,Kuberaa,2025-04-20,43,,https://open.spotify.com/track/0aFCuaVf1NBvEA2iCwFiA0
Devi Sri Prasad,Uppenantha,Aarya - 2 (Original Motion Picture Soundtrack),2009-10-30,69,,https://open.spotify.com/track/57zEYntUat0ofbFpoicN26
Devi Sri Prasad,Daddy Mummy,Villu (Original Motion Picture Soundtrack),2009-01-12,68,,https://open.spotify.com/track/6eaGltLiHCqMkS3F821oWu
Devi Sri Prasad,"Peelings (From ""Pushpa 2 The Rule"") [TELUGU]","Peelings (From ""Pushpa 2 The Rule"") [TELUGU]",2024-12-01,68,,https://open.spotify.com/track/6reHcXJekQ2csk0UazSBV1
Devi Sri Prasad,Yaendi Yaendi,Puli (Original Motion Picture Soundtrack),2015-08-02,68,,https://open.spotify.com/track/3NzGZnT961NHnGyNCi9X7W
Devi Sri Prasad,En Peru Meenakumari,Kanthaswamy (Original Motion Picture Soundtrack),2009-05-13,68,,https://open.spotify.com/track/2ylshHMbSFJ2CavXuc8rtN
Devi Sri Prasad,"Viral Vayyari ( From ""Junior"")","Viral Vayyari ( From ""Junior"")",2025-07-04,66,,https://open.spotify.com/track/6cd9eJFXIl72tDwLguJxSp
Shreya Ghoshal,Jeene Laga Hoon,Ramaiya Vastavaiya (Original Motion Picture Soundtrack),2013-07-19,79,,https://open.spotify.com/track/3t3wsY5IdLVzB9WidegJSU
Shreya Ghoshal,Saibo,Shor in the City (Original Motion Picture Soundtrack [Deluxe Edition]),2011,75,,https://open.spotify.com/track/5pPyvA03RKSJrAnnDcq0nh
Shreya Ghoshal,"Jugraafiya - From ""Super 30""","Jugraafiya (From ""Super 30"")",2019-06-15,77,,https://open.spotify.com/track/2TYxwTH2HhL6OLVkZlsDLV
Shreya Ghoshal,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Rocky Aur Rani Kii Prem Kahaani,2024-05-15,73,,https://open.spotify.com/track/6y5SuF4NxGkvwpAdqcAkD3
Shreya Ghoshal,Samjhawan,Samjhawan,2014-06-19,75,,https://open.spotify.com/track/0rk2X5TAhraBC5aCIXK2Rq
Shreya Ghoshal,Pal,Jalebi (Original Motion Picture Soundtrack),2018-09-21,72,,https://open.spotify.com/track/79hQvdTHNBkq2fp2ZrM8b2
Shreya Ghoshal,O Rangrez,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),2013-06-14,77,,https://open.spotify.com/track/5JCDVLwteSXuwVqjCa7SwH
Shreya Ghoshal,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Rocky Aur Rani Kii Prem Kahaani,2024-05-15,69,,https://open.spotify.com/track/1kDZSmw3mKQeAjcmPTLS3M
Shreya Ghoshal,Piya O Re Piya,Tere Naal Love Ho Gaya (Original Motion Picture Soundtrack),2011-02-24,75,,https://open.spotify.com/track/5a11x5PUFvJEadMRqtNtTr
Shreya Ghoshal,Besos,Besos,2025-05-08,75,,https://open.spotify.com/track/1EBYBmNTZBolUAd7D7AvZf
